Name,URL,Created_at,Star,Last commit
Anfany/Machine-Learning-for-Beginner-by-Python3,https://github.com/Anfany/Machine-Learning-for-Beginner-by-Python3,2018-03-09T06:55:55Z,386,2021-10-16T08:32:33Z
zhaoyingjun/chatbot,https://github.com/zhaoyingjun/chatbot,2018-01-08T16:00:08Z,2953,2022-07-18T12:36:30Z
benedekrozemberczki/M-NMF,https://github.com/benedekrozemberczki/M-NMF,2018-05-22T09:17:35Z,119,2022-11-06T21:18:56Z
Pzoom522/MusiCoder,https://github.com/Pzoom522/MusiCoder,2018-04-24T00:09:42Z,145,2021-08-04T15:10:16Z
uber-research/deep-neuroevolution,https://github.com/uber-research/deep-neuroevolution,2018-01-04T01:12:25Z,1570,2022-11-21T20:47:11Z
uvipen/Yolo-v2-pytorch,https://github.com/uvipen/Yolo-v2-pytorch,2019-01-31T19:00:56Z,334,2021-12-26T20:09:45Z
netrack/keras-metrics,https://github.com/netrack/keras-metrics,2018-05-23T19:54:15Z,167,2021-12-22T08:39:15Z
IntelAI/models,https://github.com/IntelAI/models,2018-10-23T23:59:08Z,436,2022-12-30T21:13:06Z
zvtvz/zvt,https://github.com/zvtvz/zvt,2019-04-04T08:06:57Z,2284,2022-09-28T09:42:26Z
lzhbrian/metrics,https://github.com/lzhbrian/metrics,2019-03-24T02:58:16Z,101,2021-03-02T00:52:13Z
ikostrikov/pytorch-flows,https://github.com/ikostrikov/pytorch-flows,2018-09-01T19:58:17Z,546,2021-05-13T19:59:29Z
wmylxmj/YOLO-V3-IOU,https://github.com/wmylxmj/YOLO-V3-IOU,2019-01-19T04:20:48Z,127,2021-06-07T14:43:02Z
AlexIoannides/kubernetes-mlops,https://github.com/AlexIoannides/kubernetes-mlops,2019-01-28T16:40:35Z,292,2022-12-08T01:52:26Z
sumuzhao/CycleGAN-Music-Style-Transfer,https://github.com/sumuzhao/CycleGAN-Music-Style-Transfer,2018-09-06T07:09:02Z,241,2021-04-04T09:00:39Z
amineHorseman/facial-expression-recognition-using-cnn,https://github.com/amineHorseman/facial-expression-recognition-using-cnn,2018-01-24T19:45:11Z,355,2021-11-15T16:47:42Z
felixchenfy/Realtime-Action-Recognition,https://github.com/felixchenfy/Realtime-Action-Recognition,2019-03-17T21:28:59Z,689,2021-07-03T14:39:39Z
Stick-To/CenterNet-tensorflow,https://github.com/Stick-To/CenterNet-tensorflow,2019-05-08T07:33:03Z,134,2021-05-02T08:27:08Z
aiqm/torchani,https://github.com/aiqm/torchani,2018-04-02T15:43:04Z,364,2022-11-10T21:04:28Z
molecularsets/moses,https://github.com/molecularsets/moses,2018-11-28T11:51:17Z,656,2022-01-10T13:25:04Z
allenai/scibert,https://github.com/allenai/scibert,2019-01-30T19:00:00Z,1201,2022-02-22T19:57:07Z
luopeixiang/named_entity_recognition,https://github.com/luopeixiang/named_entity_recognition,2019-03-21T16:13:59Z,1683,2022-06-21T21:48:08Z
lopuhin/transformer-lm,https://github.com/lopuhin/transformer-lm,2019-03-17T07:30:07Z,161,2021-02-27T15:23:53Z
tugstugi/mongolian-speech-recognition,https://github.com/tugstugi/mongolian-speech-recognition,2018-09-11T09:08:58Z,119,2021-03-22T05:28:05Z
gadiluna/SAFE,https://github.com/gadiluna/SAFE,2018-11-14T11:16:25Z,144,2022-10-06T03:14:58Z
vzhou842/cnn-from-scratch,https://github.com/vzhou842/cnn-from-scratch,2019-05-22T02:32:42Z,190,2022-06-21T22:00:29Z
